yearmon,EASTERN,WESTERN,SOUTHERN,NORTHERN,NORTH EAST
201600,1945,8362,13620,9435,34
201601,1779,7653,12664,8733,54
201602,2009,8376,13478,9163,34
201603,1776,8222,13211,8904,67
201604,1519,8457,13415,9265,71
201605,1424,8116,13256,9000,72
201606,1497,8356,13533,9376,66
201607,1621,8220,13697,9584,86
201608,1544,8166,13509,9505,86
201609,1711,8689,14062,9763,78
201610,1501,8386,13686,9710,72
201611,1888,8915,14505,10000,72
201700,1960,9051,14220,9996,36
201701,1768,8088,12511,9146,32
201702,1942,8975,13915,10320,34
201703,1870,8553,14165,9823,36
201704,1928,8835,14654,10162,34
201705,1919,8554,14345,9887,33
201706,1939,8745,14999,10354,66
201707,2011,8973,15332,10491,38
201708,1959,8825,14924,10417,66
201709,2127,9070,15143,10402,37
201710,2076,9172,15035,10472,42
201711,2288,9596,15877,11040,37
201800,2240,9602,15958,11066,34
201801,1934,8515,14020,10054,39
201802,2158,9437,15378,11098,42
201803,2005,8943,14810,10649,34
201804,2027,9233,15580,10958,38
201805,1952,8916,14956,10642,36
201806,2021,9070,15347,11428,60
201807,2007,9120,15049,11081,62
201808,2045,8995,14845,11000,72
201809,2147,9082,15147,11079,79
201810,2230,9454,15169,11091,69
201811,2466,10234,15896,11819,39
201900,2435,10204,15780,11811,63
201901,2201,8931,13956,10496,36
201902,2333,9193,15488,10671,56
201903,2062,7541,15180,9486,56
201904,2087,7630,15464,9731,82
201905,2106,7536,15174,9685,88
201906,2203,7970,15749,10516,182
201907,2177 ,8576 ,15794,10923,154
201908,2199,8628 ,15303 ,10967 ,104
201909,2450,8882,15610,11656,74
201910,2617,9025,15466,11524,77
201911,2586,9408,16223,12064,69
202000,2561 ,9351 ,16162 ,11940 ,54 
202001,2275,8700,14677,10856,40
202002,1325,5256,8586,6816,26
202003,165,777,914,742,1
